12/13 assists,12/13 games,12/13 goals,12/13 minutes,13/14 assists,13/14 games,13/14 goals,13/14 minutes,14/15 assists,14/15 games,14/15 goals,14/15 minutes,15/16 assists,15/16 games,15/16 goals,15/16 minutes,16/17 assists,16/17 games,16/17 goals,16/17 minutes,17/18 assists,17/18 games,17/18 goals,17/18 minutes,age,current club,current league,foot,height,name,nationality,position
1.0,22.0,3.0,1057.0,4.0,30.0,1.0,1258.0,2.0,24.0,4.0,1522.0,6.0,30.0,7.0,2132.0,8.0,40.0,14.0,2987.0,7.0,24.0,3.0,1194.0,26,Zenit St. Petersburg,Premier Liga,right,183.0,Dmitri Poloz,Russia,W
,,,,0.0,26.0,1.0,1255.0,6.0,48.0,7.0,2832.0,6.0,20.0,5.0,1533.0,2.0,31.0,11.0,2427.0,3.0,21.0,6.0,1433.0,25,Zenit St. Petersburg,Premier Liga,both,180.0,Emiliano Rigoni,Argentina  Italy,W
,,,,0.0,7.0,1.0,296.0,4.0,37.0,4.0,2231.0,1.0,15.0,1.0,914.0,3.0,35.0,21.0,2517.0,4.0,31.0,3.0,1571.0,22,Zenit St. Petersburg,Premier Liga,both,179.0,Sebastián Driussi,Argentina  Italy,CF
5.0,26.0,13.0,2287.0,9.0,23.0,10.0,1777.0,7.0,39.0,10.0,2785.0,3.0,24.0,8.0,1424.0,7.0,38.0,10.0,2889.0,4.0,34.0,19.0,2911.0,26,Zenit St. Petersburg,Premier Liga,right,183.0,Aleksandr Kokorin,Russia,CF
0.0,5.0,1.0,171.0,1.0,26.0,3.0,1305.0,,,,,3.0,29.0,5.0,1500.0,5.0,34.0,16.0,2562.0,2.0,24.0,4.0,2019.0,26,Zenit St. Petersburg,Premier Liga,right,188.0,Anton Zabolotnyi,Russia,CF
11.0,42.0,17.0,3678.0,8.0,31.0,11.0,2730.0,5.0,29.0,13.0,2499.0,8.0,32.0,18.0,2806.0,10.0,29.0,12.0,2474.0,8.0,28.0,15.0,2427.0,26,Spartak Moscow,Premier Liga,both,174.0,Quincy Promes,Netherlands  Suriname,W
,,,,,,,,3.0,34.0,5.0,1983.0,1.0,20.0,2.0,953.0,6.0,23.0,7.0,1753.0,2.0,10.0,1.0,449.0,23,Spartak Moscow,Premier Liga,right,175.0,Pedro Rocha,Brazil,W
5.0,40.0,2.0,3588.0,2.0,25.0,10.0,1782.0,0.0,15.0,1.0,990.0,3.0,28.0,11.0,1794.0,0.0,22.0,2.0,804.0,5.0,25.0,6.0,1092.0,27,Spartak Moscow,Premier Liga,left,178.0,Lorenzo Melgarejo,Paraguay,W
,,,,,,,,,,,,1.0,14.0,2.0,597.0,2.0,31.0,0.0,1573.0,0.0,12.0,1.0,775.0,21,Spartak 2 Moscow,Premier Liga,left,180.0,Zelimkhan Bakaev,Russia,W
9.0,32.0,15.0,2455.0,4.0,39.0,31.0,3120.0,11.0,33.0,21.0,2681.0,4.0,29.0,6.0,1504.0,1.0,15.0,2.0,591.0,7.0,29.0,11.0,2513.0,30,Spartak Moscow,Premier Liga,right,183.0,Luiz Adriano,Brazil,CF
1.0,35.0,8.0,1603.0,5.0,29.0,10.0,1577.0,5.0,25.0,11.0,1604.0,5.0,25.0,10.0,1768.0,7.0,24.0,5.0,1703.0,7.0,16.0,4.0,1022.0,27,Spartak Moscow,Premier Liga,left,184.0,Zé Luís,Cape Verde,CF
7.0,35.0,15.0,3029.0,4.0,37.0,9.0,2878.0,11.0,39.0,11.0,3226.0,6.0,44.0,18.0,3858.0,0.0,32.0,4.0,1335.0,3.0,12.0,2.0,1075.0,25,CSKA Moscow,Premier Liga,both,170.0,Ahmed Musa,Nigeria,CF
,,,,,,,,,,,,1.0,6.0,1.0,419.0,5.0,23.0,11.0,1309.0,2.0,23.0,0.0,1033.0,19,CSKA Moscow,Premier Liga,right,180.0,Fedor Chalov,Russia,CF
,,,,,,,,0.0,6.0,3.0,465.0,2.0,7.0,4.0,531.0,2.0,13.0,6.0,809.0,0.0,17.0,2.0,585.0,20,CSKA Moscow,Premier Liga,right,181.0,Timur Zhamaletdinov,Russia,CF
1.0,6.0,0.0,199.0,6.0,29.0,2.0,1924.0,4.0,32.0,2.0,1769.0,0.0,26.0,2.0,1175.0,11.0,28.0,5.0,1543.0,2.0,23.0,3.0,1236.0,23,FK Krasnodar,Premier Liga,right,175.0,Wanderson,Brazil  Belgium,W
16.0,31.0,4.0,2740.0,12.0,34.0,7.0,2964.0,9.0,29.0,11.0,2369.0,5.0,23.0,2.0,991.0,5.0,33.0,6.0,1809.0,1.0,19.0,2.0,898.0,29,FK Krasnodar,Premier Liga,left,166.0,Joãozinho,Russia  Brazil,W
,,,,0.0,8.0,1.0,324.0,2.0,19.0,1.0,518.0,5.0,34.0,7.0,2762.0,5.0,39.0,10.0,3382.0,2.0,8.0,0.0,145.0,21,FK Krasnodar,Premier Liga,right,185.0,Andrei Ivan,Romania,W
9.0,29.0,7.0,2275.0,3.0,12.0,3.0,438.0,6.0,37.0,7.0,1499.0,6.0,31.0,3.0,1290.0,3.0,27.0,3.0,877.0,0.0,7.0,2.0,214.0,30,FK Krasnodar,Premier Liga,right,174.0,Ricardo Laborde,Colombia,W
,,,,,,,,,,,,,,,,,,,,6.0,10.0,2.0,458.0,18,FK Krasnodar,Premier Liga,left,170.0,Magomed-Shapi Suleymanov,Russia,W
0.0,26.0,1.0,1023.0,2.0,29.0,2.0,1965.0,3.0,26.0,8.0,1854.0,13.0,44.0,24.0,3410.0,1.0,31.0,25.0,2691.0,2.0,17.0,12.0,1377.0,28,FK Krasnodar,Premier Liga,right,187.0,Fedor Smolov,Russia,CF
,,,,,,,,,,,,,,,,,,,,3.0,11.0,13.0,847.0,19,FK Krasnodar,Premier Liga,right,180.0,Ivan Ignatjev,Russia,CF
5.0,31.0,3.0,1564.0,3.0,20.0,3.0,1060.0,3.0,31.0,4.0,2016.0,4.0,31.0,3.0,2127.0,5.0,19.0,2.0,857.0,0.0,2.0,0.0,54.0,31,Lokomotiv Moscow,Premier Liga,right,174.0,Alan Kasaev,Russia,W
10.0,35.0,7.0,2828.0,9.0,28.0,12.0,2259.0,0.0,9.0,0.0,564.0,1.0,9.0,1.0,696.0,0.0,11.0,3.0,677.0,6.0,24.0,12.0,1995.0,33,Lokomotiv Moscow,Premier Liga,right,178.0,Jefferson Farfán,Peru,W
,,,,0.0,0.0,0.0,0.0,3.0,8.0,1.0,588.0,2.0,12.0,6.0,922.0,10.0,25.0,11.0,1808.0,0.0,3.0,0.0,30.0,22,Lokomotiv Moscow,Premier Liga,right,169.0,Arshak Koryan,Russia  Armenia,W
5.0,31.0,16.0,2413.0,3.0,16.0,4.0,1064.0,3.0,38.0,14.0,2268.0,4.0,29.0,6.0,1582.0,5.0,37.0,7.0,2842.0,1.0,19.0,3.0,1041.0,30,Lokomotiv Moscow,Premier Liga,both,190.0,Éder,Portugal  Guinea-Bissau,CF
8.0,37.0,6.0,2621.0,3.0,21.0,7.0,1297.0,9.0,38.0,14.0,2451.0,7.0,36.0,6.0,2252.0,8.0,31.0,13.0,2435.0,1.0,5.0,1.0,430.0,32,Lokomotiv Moscow,Premier Liga,both,180.0,Ari,Brazil,CF
9.0,42.0,7.0,3319.0,5.0,31.0,6.0,2365.0,4.0,24.0,7.0,2017.0,2.0,28.0,7.0,2061.0,0.0,12.0,0.0,535.0,5.0,16.0,2.0,835.0,38,Rubin Kazan,Premier Liga,right,168.0,Gökdeniz Karadeniz,Turkey,W
,,,,,,,,,,,,1.0,6.0,2.0,314.0,0.0,26.0,0.0,1395.0,1.0,18.0,3.0,800.0,21,Rubin Kazan,Premier Liga,right,184.0,Rifat Zhemaletdinov,Russia,W
0.0,0.0,0.0,0.0,3.0,17.0,5.0,881.0,1.0,27.0,6.0,1069.0,3.0,24.0,9.0,1276.0,3.0,41.0,12.0,2447.0,4.0,22.0,1.0,1120.0,23,Rubin Kazan,Premier Liga,both,186.0,Sardar Azmoun,Iran,CF
,,,,,,,,,,,,0.0,1.0,0.0,15.0,0.0,1.0,0.0,21.0,0.0,22.0,3.0,1411.0,19,Akhmat Grozny,Premier Liga,right,178.0,Léo Jabá,Brazil,W
